Seed,Algorithm,FND,LP_Bound,Optimality_Gap
0,HEED_Clustered,1010,3338.9851146606525,30.248712267848738
1,HEED_Clustered,946,3338.9851146606525,28.331962183549408
2,HEED_Clustered,1233,3338.9851146606525,36.9273883428292
3,HEED_Clustered,1014,3338.9851146606525,30.368509148117447
4,HEED_Clustered,1017,3338.9851146606525,30.458356808318975
5,HEED_Clustered,772,3338.9851146606525,23.12079789186062
6,HEED_Clustered,783,3338.9851146606525,23.450239312599567
7,HEED_Clustered,1019,3338.9851146606525,30.51825524845333
8,HEED_Clustered,913,3338.9851146606525,27.34363792133257
9,HEED_Clustered,1010,3338.9851146606525,30.248712267848738
0,PEGASIS,2062,3338.9851146606525,61.75529177851891
1,PEGASIS,1680,3338.9851146606525,50.31468971285731
2,PEGASIS,1435,3338.9851146606525,42.977130796398946
3,PEGASIS,1965,3338.9851146606525,58.85021743200274
4,PEGASIS,1786,3338.9851146606525,53.489307039978065
5,PEGASIS,1664,3338.9851146606525,49.835502191782474
6,PEGASIS,1899,3338.9851146606525,56.87356890756906
7,PEGASIS,2171,3338.9851146606525,65.0197567658412
8,PEGASIS,2036,3338.9851146606525,60.976612056772304
9,PEGASIS,1734,3338.9851146606525,51.93194759648486
0,EBPT_Flat_Gamma_0.5,2731,3338.9851146606525,81.7913200034603
1,EBPT_Flat_Gamma_0.5,2553,3338.9851146606525,76.46035883150279
2,EBPT_Flat_Gamma_0.5,2958,3338.9851146606525,88.58979295870947
3,EBPT_Flat_Gamma_0.5,2634,3338.9851146606525,78.88624565694413
4,EBPT_Flat_Gamma_0.5,2543,3338.9851146606525,76.16086663083102
5,EBPT_Flat_Gamma_0.5,2584,3338.9851146606525,77.38878465358529
6,EBPT_Flat_Gamma_0.5,2937,3338.9851146606525,87.96085933729876
7,EBPT_Flat_Gamma_0.5,2555,3338.9851146606525,76.52025727163715
8,EBPT_Flat_Gamma_0.5,2705,3338.9851146606525,81.0126402817137
9,EBPT_Flat_Gamma_0.5,2815,3338.9851146606525,84.30705448910317
0,EBPT_Clustered_Gamma_0.5,1076,3338.9851146606525,32.225360792282416
1,EBPT_Clustered_Gamma_0.5,1001,3338.9851146606525,29.979169287244144
2,EBPT_Clustered_Gamma_0.5,1000,3338.9851146606525,29.949220067176967
3,EBPT_Clustered_Gamma_0.5,958,3338.9851146606525,28.691352824355537
4,EBPT_Clustered_Gamma_0.5,995,3338.9851146606525,29.799473966841084
5,EBPT_Clustered_Gamma_0.5,1005,3338.9851146606525,30.098966167512852
6,EBPT_Clustered_Gamma_0.5,940,3338.9851146606525,28.152266863146348
7,EBPT_Clustered_Gamma_0.5,992,3338.9851146606525,29.709626306639553
8,EBPT_Clustered_Gamma_0.5,1041,3338.9851146606525,31.177138089931223
9,EBPT_Clustered_Gamma_0.5,976,3338.9851146606525,29.230438785564722
0,LEACH_EnergyAware,973,3338.9851146606525,29.14059112536319
1,LEACH_EnergyAware,949,3338.9851146606525,28.42180984375094
2,LEACH_EnergyAware,942,3338.9851146606525,28.2121653032807
3,LEACH_EnergyAware,958,3338.9851146606525,28.691352824355537
4,LEACH_EnergyAware,974,3338.9851146606525,29.170540345430368
5,LEACH_EnergyAware,974,3338.9851146606525,29.170540345430368
6,LEACH_EnergyAware,980,3338.9851146606525,29.35023566583343
7,LEACH_EnergyAware,962,3338.9851146606525,28.811149704624246
8,LEACH_EnergyAware,999,3338.9851146606525,29.919270847109793
9,LEACH_EnergyAware,873,3338.9851146606525,26.145669118645493
