algorithm,n_seeds,fnd_mean,fnd_std,fairness_mean,fairness_std
EBPT_Gamma_0.4,30,628.8333333333334,15.254356830061717,0.3787724914853607,0.08053630138101778
EBPT_Gamma_0.5,30,628.3,17.946568205225965,0.38901759568992544,0.09227373778086231
Adaptive_balanced,30,627.8,16.274371644207747,0.37397467151427705,0.07856805106972717
Hybrid_AllFeatures,30,627.4,15.278111455777918,0.36799622182295805,0.07920024440127858
EBPT_Gamma_0.6,30,627.0666666666667,15.769751344623806,0.36352146702482574,0.07911183623538487
Adaptive_long_term_coverage,30,625.9666666666667,16.752731806738435,0.3540510543455489,0.07696189341667022
Adaptive_real_time_monitoring,30,624.8666666666667,14.882837450389378,0.3544962569702609,0.08768440764606954
EBPT_Gamma_0.2,30,624.7666666666667,24.075575451758848,0.3434142352110375,0.08202663555148816
EBPT_Gamma_0.0,30,624.0666666666667,25.921543873419445,0.3435463520169471,0.071756237266499
TrafficAware,30,622.8333333333334,17.524531246292977,0.36377900277167174,0.0915492466239873
EBPT_Gamma_1.0,30,622.5666666666667,14.564205847008035,0.3325036554132693,0.07015246443260349
Baseline_energy_aware,30,620.1,18.298954181535375,0.3619270338090281,0.07896140547232844
EBPT_Gamma_0.8,30,618.9666666666667,18.627905157980393,0.34309028019495863,0.07457434699938048
Baseline_random,30,566.2333333333333,26.82983842450523,0.4627725250997659,0.07768859205813794
Baseline_deterministic,30,61.9,13.220543053168795,0.953840192739597,0.013117345059357204
