Seed,Algorithm,FND,LP_Bound,Optimality_Gap
0,HEED_Clustered,1022,3292.5346670253416,31.039916154423715
1,HEED_Clustered,1100,3292.5346670253416,33.40891171219773
2,HEED_Clustered,987,3292.5346670253416,29.976905327217423
3,HEED_Clustered,882,3292.5346670253416,26.78787284559855
4,HEED_Clustered,1006,3292.5346670253416,30.553968347700838
0,PEGASIS,2304,3292.5346670253416,69.97648416809416
1,PEGASIS,1938,3292.5346670253416,58.86042808930837
2,PEGASIS,2230,3292.5346670253416,67.72897556200085
3,PEGASIS,1831,3292.5346670253416,55.610652131849136
4,PEGASIS,2160,3292.5346670253416,65.60295390758827
0,EBPT_Flat_Gamma_0.5,2903,3292.5346670253416,88.16915518228183
1,EBPT_Flat_Gamma_0.5,2642,3292.5346670253416,80.24213158511492
2,EBPT_Flat_Gamma_0.5,2980,3292.5346670253416,90.50777900213568
3,EBPT_Flat_Gamma_0.5,2591,3292.5346670253416,78.69317295118576
4,EBPT_Flat_Gamma_0.5,2797,3292.5346670253416,84.94975096274278
0,EBPT_Clustered_Gamma_0.5,1016,3292.5346670253416,30.857685726902634
1,EBPT_Clustered_Gamma_0.5,998,3292.5346670253416,30.3109944443394
2,EBPT_Clustered_Gamma_0.5,1027,3292.5346670253416,31.19177484402461
3,EBPT_Clustered_Gamma_0.5,993,3292.5346670253416,30.159135754738497
4,EBPT_Clustered_Gamma_0.5,1007,3292.5346670253416,30.584340085621015
0,LEACH_EnergyAware,1025,3292.5346670253416,31.131031368184253
1,LEACH_EnergyAware,992,3292.5346670253416,30.128764016818323
2,LEACH_EnergyAware,1051,3292.5346670253416,31.920696554108925
3,LEACH_EnergyAware,1003,3292.5346670253416,30.4628531339403
4,LEACH_EnergyAware,956,3292.5346670253416,29.03538145169185
